#NAME X             Y             Z             SEFDR 
ALMA  2225061.164   -5440057.37   -2481681.15   70    
APEX  2225039.53    -5441197.63   -2479303.36   4900  
GLT   1500692.0    -1191735.0    6066409.0      10000 
JCMT  -5464584.68   -2493001.17   2150653.98    10000 
KP    -1995678.840  -5037317.697  3357328.025   10000
LMT   -768713.9637  -5988541.7982 2063275.9472  3600  
SMA   -5464523.400  -2493147.080  2150611.750   5600  
SMT   -1828796.200  -5054406.800  3427865.200   14400 
SPT   0.01          0.01          -6359609.7    16900 
BAJA  -2352576      -4940331      3271508	10000
BAR   -2363000      -4445000      3907000	10000
CAT   1569000       -4559000      -4163000	10000
CNI   5311000       -1725000      3075000	10000
GAM   5648000       1619000       -2477000	10000
GARS  1538000       -2462000      -5659000	10000
HAY   1521000       -4417000      4327000	10000
NZ    -4540000      719000        -4409000	10000
OVRO  -2409598      -4478348      3838607	10000
SGO   1832000       -5034000      -3455000	10000
CAS   1373000       -3399000      -5201000	10000
LLA   2325338       -5341460      -2599661	10000
PIKE  -1285000      -4797000      3994000	10000
PV    5088967.9     -301681.6     3825015.8     3600 





